congress,senator_name,senator_state,senator_party
118th,Katie Britt,Alabama,Republican
118th,Tommy Tuberville,Alabama,Republican
118th,Dan Sullivan,Alaska,Republican
118th,Lisa Murkowski,Alaska,Republican
118th,Kyrsten Sinema,Arizona,Independent
118th,Mark Kelly,Arizona,Democratic
118th,John Boozman,Arkansas,Republican
118th,Tom Cotton,Arkansas,Republican
118th,Alex Padilla,California,Democratic
118th,Dianne Feinstein,California,Democratic
118th,Laphonza Butler,California,Democratic
118th,John Hickenlooper,Colorado,Democratic
118th,Michael Bennet,Colorado,Democratic
118th,Chris Murphy,Connecticut,Democratic
118th,Richard Blumenthal,Connecticut,Democratic
118th,Chris Coons,Delaware,Democratic
118th,Tom Carper,Delaware,Democratic
118th,Marco Rubio,Florida,Republican
118th,Rick Scott,Florida,Republican
118th,Jon Ossoff,Georgia,Democratic
118th,Raphael Warnock,Georgia,Democratic
118th,Brian Schatz,Hawaii,Democratic
118th,Mazie Hirono,Hawaii,Democratic
118th,Jim Risch,Idaho,Republican
118th,Mike Crapo,Idaho,Republican
118th,Dick Durbin,Illinois,Democratic
118th,Tammy Duckworth,Illinois,Democratic
118th,Mike Braun,Indiana,Republican
118th,Todd Young,Indiana,Republican
118th,Chuck Grassley,Iowa,Republican
118th,Joni Ernst,Iowa,Republican
118th,Jerry Moran,Kansas,Republican
118th,Roger Marshall,Kansas,Republican
118th,Mitch McConnell,Kentucky,Republican
118th,Rand Paul,Kentucky,Republican
118th,Bill Cassidy,Louisiana,Republican
118th,John Kennedy,Louisiana,Republican
118th,Angus King,Maine,Independent
118th,Susan Collins,Maine,Republican
118th,Ben Cardin,Maryland,Democratic
118th,Chris Van Hollen,Maryland,Democratic
118th,Ed Markey,Massachusetts,Democratic
118th,Elizabeth Warren,Massachusetts,Democratic
118th,Debbie Stabenow,Michigan,Democratic
118th,Gary Peters,Michigan,Democratic
118th,Amy Klobuchar,Minnesota,Democratic
118th,Tina Smith,Minnesota,Democratic
118th,Cindy Hyde-Smith,Mississippi,Republican
118th,Roger Wicker,Mississippi,Republican
118th,Eric Schmitt,Missouri,Republican
118th,Josh Hawley,Missouri,Republican
118th,Jon Tester,Montana,Democratic
118th,Steve Daines,Montana,Republican
118th,Ben Sasse,Nebraska,Republican
118th,Deb Fischer,Nebraska,Republican
118th,Pete Ricketts,Nebraska,Republican
118th,Catherine Cortez Masto,Nevada,Democratic
118th,Jacky Rosen,Nevada,Democratic
118th,Jeanne Shaheen,New Hampshire,Democratic
118th,Maggie Hassan,New Hampshire,Democratic
118th,Bob Menendez,New Jersey,Democratic
118th,Cory Booker,New Jersey,Democratic
118th,George Helmy,New Jersey,Democratic
118th,Ben Ray Luján,New Mexico,Democratic
118th,Martin Heinrich,New Mexico,Democratic
118th,Chuck Schumer,New York,Democratic
118th,Kirsten Gillibrand,New York,Democratic
118th,Ted Budd,North Carolina,Republican
118th,Thom Tillis,North Carolina,Republican
118th,John Hoeven,North Dakota,Republican
118th,Kevin Cramer,North Dakota,Republican
118th,JD Vance,Ohio,Republican
118th,Sherrod Brown,Ohio,Democratic
118th,James Lankford,Oklahoma,Republican
118th,Markwayne Mullin,Oklahoma,Republican
118th,Jeff Merkley,Oregon,Democratic
118th,Ron Wyden,Oregon,Democratic
118th,Bob Casey Jr.,Pennsylvania,Democratic
118th,John Fetterman,Pennsylvania,Democratic
118th,Jack Reed,Rhode Island,Democratic
118th,Sheldon Whitehouse,Rhode Island,Democratic
118th,Lindsey Graham,South Carolina,Republican
118th,Tim Scott,South Carolina,Republican
118th,John Thune,South Dakota,Republican
118th,Mike Rounds,South Dakota,Republican
118th,Bill Hagerty,Tennessee,Republican
118th,Marsha Blackburn,Tennessee,Republican
118th,John Cornyn,Texas,Republican
118th,Ted Cruz,Texas,Republican
118th,Mike Lee,Utah,Republican
118th,Mitt Romney,Utah,Republican
118th,Bernie Sanders,Vermont,Independent
118th,Peter Welch,Vermont,Democratic
118th,Mark Warner,Virginia,Democratic
118th,Tim Kaine,Virginia,Democratic
118th,Maria Cantwell,Washington,Democratic
118th,Patty Murray,Washington,Democratic
118th,Joe Manchin,West Virginia,Democratic
118th,Shelley Moore Capito,West Virginia,Republican
118th,Ron Johnson,Wisconsin,Republican
118th,Tammy Baldwin,Wisconsin,Democratic
118th,Cynthia Lummis,Wyoming,Republican
118th,John Barrasso,Wyoming,Republican
117th,Richard Shelby,Alabama,Republican
117th,Tommy Tuberville,Alabama,Republican
117th,Dan Sullivan,Alaska,Republican
117th,Lisa Murkowski,Alaska,Republican
117th,Kyrsten Sinema,Arizona,Democratic
117th,Mark Kelly,Arizona,Democratic
117th,John Boozman,Arkansas,Republican
117th,Tom Cotton,Arkansas,Republican
117th,Alex Padilla,California,Democratic
117th,Dianne Feinstein,California,Democratic
117th,Kamala Harris,California,Democratic
117th,John Hickenlooper,Colorado,Democratic
117th,Michael Bennet,Colorado,Democratic
117th,Chris Murphy,Connecticut,Democratic
117th,Richard Blumenthal,Connecticut,Democratic
117th,Chris Coons,Delaware,Democratic
117th,Tom Carper,Delaware,Democratic
117th,Marco Rubio,Florida,Republican
117th,Rick Scott,Florida,Republican
117th,Jon Ossoff,Georgia,Democratic
117th,Kelly Loeffler,Georgia,Republican
117th,Raphael Warnock,Georgia,Democratic
117th,Brian Schatz,Hawaii,Democratic
117th,Mazie Hirono,Hawaii,Democratic
117th,Jim Risch,Idaho,Republican
117th,Mike Crapo,Idaho,Republican
117th,Dick Durbin,Illinois,Democratic
117th,Tammy Duckworth,Illinois,Democratic
117th,Mike Braun,Indiana,Republican
117th,Todd Young,Indiana,Republican
117th,Chuck Grassley,Iowa,Republican
117th,Joni Ernst,Iowa,Republican
117th,Jerry Moran,Kansas,Republican
117th,Roger Marshall,Kansas,Republican
117th,Mitch McConnell,Kentucky,Republican
117th,Rand Paul,Kentucky,Republican
117th,Bill Cassidy,Louisiana,Republican
117th,John Neely Kennedy,Louisiana,Republican
117th,Angus King,Maine,Independent
117th,Susan Collins,Maine,Republican
117th,Ben Cardin,Maryland,Democratic
117th,Chris Van Hollen,Maryland,Democratic
117th,Ed Markey,Massachusetts,Democratic
117th,Elizabeth Warren,Massachusetts,Democratic
117th,Debbie Stabenow,Michigan,Democratic
117th,Gary Peters,Michigan,Democratic
117th,Amy Klobuchar,Minnesota,Democratic
117th,Tina Smith,Minnesota,Democratic
117th,Cindy Hyde-Smith,Mississippi,Republican
117th,Roger Wicker,Mississippi,Republican
117th,Josh Hawley,Missouri,Republican
117th,Roy Blunt,Missouri,Republican
117th,Jon Tester,Montana,Democratic
117th,Steve Daines,Montana,Republican
117th,Ben Sasse,Nebraska,Republican
117th,Deb Fischer,Nebraska,Republican
117th,Catherine Cortez Masto,Nevada,Democratic
117th,Jacky Rosen,Nevada,Democratic
117th,Jeanne Shaheen,New Hampshire,Democratic
117th,Maggie Hassan,New Hampshire,Democratic
117th,Bob Menendez,New Jersey,Democratic
117th,Cory Booker,New Jersey,Democratic
117th,Ben Ray Luján,New Mexico,Democratic
117th,Martin Heinrich,New Mexico,Democratic
117th,Chuck Schumer,New York,Democratic
117th,Kirsten Gillibrand,New York,Democratic
117th,Richard Burr,North Carolina,Republican
117th,Thom Tillis,North Carolina,Republican
117th,John Hoeven,North Dakota,Republican
117th,Kevin Cramer,North Dakota,Republican
117th,Rob Portman,Ohio,Republican
117th,Sherrod Brown,Ohio,Democratic
117th,James Lankford,Oklahoma,Republican
117th,Jim Inhofe,Oklahoma,Republican
117th,Jeff Merkley,Oregon,Democratic
117th,Ron Wyden,Oregon,Democratic
117th,"Bob Casey, Jr.",Pennsylvania,Democratic
117th,Pat Toomey,Pennsylvania,Republican
117th,Jack Reed,Rhode Island,Democratic
117th,Sheldon Whitehouse,Rhode Island,Democratic
117th,Lindsey Graham,South Carolina,Republican
117th,Tim Scott,South Carolina,Republican
117th,John Thune,South Dakota,Republican
117th,Mike Rounds,South Dakota,Republican
117th,Bill Hagerty,Tennessee,Republican
117th,Marsha Blackburn,Tennessee,Republican
117th,John Cornyn,Texas,Republican
117th,Ted Cruz,Texas,Republican
117th,Mike Lee,Utah,Republican
117th,Mitt Romney,Utah,Republican
117th,Bernie Sanders,Vermont,Independent
117th,Patrick Leahy,Vermont,Democratic
117th,Mark Warner,Virginia,Democratic
117th,Tim Kaine,Virginia,Democratic
117th,Maria Cantwell,Washington,Democratic
